PROPERTY_NUMBER;PROPERTY_TYPE;PROPERTY_ID;PARCEL_ID;TAX_BILL_ID;TAX_YEAR;EFFECTIVE_RATE;TAXSET_DESCR;CLASSIFICATION_ID;CLASSIFICATION_DESCR;TAX_MARKET_TOTAL;NET_TAX_OWED_1ST;NET_TAX_OWED_2ND
004-10-002;800;203287746;00410002;782203255;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;21800;382,31;364,1
126-17-007;800;903230099;12617007;781764437;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;21800;382,31;364,1
432-03-004;800;303437156;43203004;782176803;2018;78,908082;Brooklyn;4000;COMMERCIAL VACANT LAND;21800;316,08;301,03
001-13-098;800;603217595;00113098;782209419;2018;95,437969;Cleveland;4070;APARTMENTS 40 OR MORE UNITS (ELEVATOR);21700;362,66;362,66
121-20-048;800;503703657;12120048;782188066;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;21700;380,8;362,66
105-21-106;800;503353413;10521106;782138246;2018;95,437969;Cleveland;4090;APARTMENTS 1-6 UNITS;21600;378,8;360,76
129-17-061;800;403290601;12917061;782239019;2018;95,437969;Cleveland;4020;APARTMENTS 20-39 UNITS (WALK-UP);21600;378,8;360,76
449-04-063;800;203619162;44904063;782102329;2018;86,44072;Parma;4000;COMMERCIAL VACANT LAND;21600;343,09;326,75
262-05-003;800;903318560;26205003;781772778;2018;97,28997;Olmsted Township;4120;NURSING HOME;21500;366,3;366,3
344-16-099;800;779939789;34416099;782102991;2018;84,505545;Brook Park;4000;COMMERCIAL VACANT LAND;21500;318,17;318,17
003-31-011;800;103274596;00331011;781901304;2018;95,437969;Cleveland;4090;APARTMENTS 1-6 UNITS;21400;357,41;357,41
108-03-024;800;403415782;10803024;781744237;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;21400;357,41;357,41
116-14-028;800;303597608;11614028;782083181;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;21400;375,79;357,89
121-20-073;800;103703761;12120073;781740899;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;21400;375,28;357,41
121-20-099;800;703703857;12120099;781963697;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;21400;375,28;357,41
213-03-022;800;503676630;21303022;781779687;2018;70,44696;Westlake;4000;COMMERCIAL VACANT LAND;21400;277,01;263,82
118-16-015;800;303632438;11816015;781736795;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;21300;373,79;355,99
444-20-001;800;903536666;44420001;781979880;2018;86,44072;Parma;4000;COMMERCIAL VACANT LAND;21300;338,55;322,43
795-09-117;800;403422145;79509117;782234819;2018;79,825074;Oakwood;4000;COMMERCIAL VACANT LAND;21300;297,75;297,75
007-25-016;800;403374589;00725016;782069790;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;21200;354,07;354,07
109-10-126;800;703448284;10910126;782075787;2018;95,437969;Cleveland;4090;APARTMENTS 1-6 UNITS;21200;371,78;354,07
115-15-040;800;503580672;11515040;781734973;2018;95,437969;Cleveland;4095;DAY CARE CENTERS;21200;371,78;354,07
672-05-001;800;603318809;67205001;782068421;2018;119,31843;East Cleveland;4090;APARTMENTS 1-6 UNITS;21200;464,81;442,67
786-11-004;800;603370046;78611004;781968061;2018;117,525483;Maple Hts.;4000;COMMERCIAL VACANT LAND;21200;436,02;436,02
786-11-005;800;103370050;78611005;781968466;2018;117,525483;Maple Hts.;4000;COMMERCIAL VACANT LAND;21200;436,02;436,02
455-17-005;800;503703801;45517005;781829398;2018;86,44072;Parma;4120;NURSING HOME;21100;319,4;319,4
004-01-090;800;803281677;00401090;782141940;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;21000;368,28;350,74
008-05-056;800;903389381;00805056;782177005;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;21000;368,28;350,74
114-02-026;800;203551815;11402026;782005832;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;21000;350,74;350,74
130-14-001;800;703318207;13014001;782203567;2018;95,437969;Cleveland;4090;APARTMENTS 1-6 UNITS;21000;368,28;350,74
443-29-014;800;303512945;44329014;781923953;2018;86,44072;Parma;4000;COMMERCIAL VACANT LAND;21000;317,67;317,67
119-14-056;800;503659368;11914056;781738036;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;20900;349,3;349,3
672-15-007;800;403326043;67215007;782231353;2018;119,31843;East Cleveland;4095;DAY CARE CENTERS;20900;458,54;436,7
002-34-131;800;103258360;00234131;782177641;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;20800;364,77;347,4
008-15-001;800;103397077;00815001;781703324;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;20800;347,4;347,4
108-23-046;800;203432115;10823046;781901646;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;20800;364,77;347,4
121-16-030;800;503697870;12116030;782193052;2018;95,437969;Cleveland;4090;APARTMENTS 1-6 UNITS;20800;347,87;347,87
542-23-009;800;703371316;54223009;781988310;2018;128,531053;Garfield Hts.;4000;COMMERCIAL VACANT LAND;20800;467,85;467,85
237-19-027;800;103307932;23719027;782026159;2018;102,331189;North Olmsted;4000;COMMERCIAL VACANT LAND;20700;389,5;370,95
015-03-033;800;803526297;01503033;782118563;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;20600;361,26;344,05
107-21-050;800;903412673;10721050;782154676;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;20600;344,05;344,05
118-25-072;800;703641406;11825072;782244864;2018;95,437969;Cleveland;4010;APARTMENTS 7-19 (WALK-UP);20600;344,05;344,05
120-28-055;800;703691509;12028055;782195403;2018;95,437969;Cleveland;4090;APARTMENTS 1-6 UNITS;20600;344,05;344,05
132-08-045;800;503347869;13208045;781937412;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;20600;361,26;344,05
301-13-111;800;903378302;30113111;781933450;2018;101,872604;Rocky River;4000;COMMERCIAL VACANT LAND;20600;385,62;367,25
301-13-112;800;403378306;30113112;781933449;2018;101,872604;Rocky River;4000;COMMERCIAL VACANT LAND;20600;385,62;367,25
301-14-096;800;903379823;30114096;781775032;2018;101,872604;Rocky River;4000;COMMERCIAL VACANT LAND;20600;385,62;367,25
002-32-137;800;803254983;00232137;781710936;2018;95,437969;Cleveland;4090;APARTMENTS 1-6 UNITS;20500;359,76;342,63
004-22-002;800;503299359;00422002;781967721;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;20500;359,76;342,63
106-22-013;800;903387968;10622013;782173757;2018;95,437969;Cleveland;4090;APARTMENTS 1-6 UNITS;20500;0;0
812-10-005;800;803447997;81210005;781897473;2018;97,725074;Bedford;4090;APARTMENTS 1-6 UNITS;20500;368,38;350,84
544-13-033;800;503406666;54413033;782047816;2018;128,531053;Garfield Hts.;4080;APARTMENTS 40 OR MORE UNITS (GARDEN);20400;481,81;458,86
701-13-047;800;303486305;70113047;781910790;2018;108,651304;South Euclid;4090;APARTMENTS 1-6 UNITS;20400;387,89;387,89
017-03-022;800;903579074;01703022;781726919;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;20300;356,25;339,28
108-10-069;800;203422134;10810069;781748962;2018;95,437969;Cleveland;4010;APARTMENTS 7-19 (WALK-UP);20300;339,28;339,28
119-01-009;800;803648436;11901009;782253219;2018;95,437969;Cleveland;4010;APARTMENTS 7-19 (WALK-UP);20300;0;0
119-28-015;800;703665490;11928015;782047328;2018;95,437969;Cleveland;4090;APARTMENTS 1-6 UNITS;20300;336,91;336,91
121-18-021;800;303700631;12118021;781967255;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;20300;356,25;339,28
139-01-008;800;603499358;13901008;782206381;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;20300;339,28;339,28
121-20-076;800;103703770;12120076;781903986;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;20200;344,96;337,37
124-15-024;800;203738745;12415024;781904060;2018;95,437969;Cleveland;4090;APARTMENTS 1-6 UNITS;20200;354,24;337,37
212-30-009;800;903675392;21230009;781929601;2018;70,44696;Westlake;4000;COMMERCIAL VACANT LAND;20200;261,48;249,03
449-07-035;800;403622332;44907035;781963160;2018;86,44072;Parma;4010;APARTMENTS 7-19 (WALK-UP);20200;305,57;305,57
449-07-036;800;603622334;44907036;781963159;2018;86,44072;Parma;4010;APARTMENTS 7-19 (WALK-UP);20200;305,57;305,57
006-19-001;800;403346788;00619001;782055499;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;20100;335,94;335,94
013-37-023;800;503504298;01337023;782086637;2018;95,437969;Cleveland;4090;APARTMENTS 1-6 UNITS;20100;335,94;335,94
119-29-128;800;203667510;11929128;782070864;2018;95,437969;Cleveland;4090;APARTMENTS 1-6 UNITS;20100;352,74;335,94
703-30-037;800;603529121;70330037;782205476;2018;108,651304;South Euclid;4000;COMMERCIAL VACANT LAND;20100;401,58;382,45
761-22-032;800;103251871;76122032;781876208;2018;107,218084;Warrensville Hts.;4000;COMMERCIAL VACANT LAND;20100;396,28;377,41
007-21-035;800;703371631;00721035;781991525;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;20000;350,74;334,04
009-11-004;800;303410039;00911004;782125331;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;20000;334,04;334,04
107-21-045;800;703412662;10721045;782187326;2018;95,437969;Cleveland;4010;APARTMENTS 7-19 (WALK-UP);20000;334,04;334,04
112-18-002;800;303522341;11218002;782174214;2018;95,437969;Cleveland;4070;APARTMENTS 40 OR MORE UNITS (ELEVATOR);20000;350,74;334,04
114-31-009;800;203567142;11431009;782140580;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;20000;334,04;334,04
119-14-048;800;703659343;11914048;781920363;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;20000;334,04;334,04
119-14-050;800;403659349;11914050;781920403;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;20000;334,04;334,04
119-14-051;800;603659351;11914051;781923394;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;20000;334,04;334,04
119-21-022;800;903661766;11921022;782253765;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;20000;334,04;334,04
124-12-058;800;903736970;12412058;781766100;2018;95,437969;Cleveland;4090;APARTMENTS 1-6 UNITS;20000;345,31;328,86
016-25-105;800;203577321;01625105;781913413;2018;95,437969;Cleveland;4090;APARTMENTS 1-6 UNITS;19900;349,23;332,6
119-14-052;800;103659355;11914052;781738034;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;19900;332,6;332,6
119-14-053;800;503659359;11914053;781923396;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;19900;332,6;332,6
795-22-005;800;103426372;79522005;781949648;2018;79,825074;Oakwood;4000;COMMERCIAL VACANT LAND;19900;292,1;278,19
003-31-031;800;503274708;00331031;782247226;2018;95,437969;Cleveland;4090;APARTMENTS 1-6 UNITS;19800;330,7;330,7
121-16-012;800;503697645;12116012;782127786;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;19800;347,24;330,7
121-19-061;800;503702739;12119061;782111618;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;19800;347,24;330,7
121-19-063;800;503702757;12119063;782243935;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;19800;347,24;330,7
130-18-129;800;203323845;13018129;782108936;2018;95,437969;Cleveland;4010;APARTMENTS 7-19 (WALK-UP);19800;347,24;330,7
431-22-008;800;403435141;43122008;781962648;2018;78,908082;Brooklyn;4000;COMMERCIAL VACANT LAND;19800;273,41;273,41
431-22-009;800;703435144;43122009;781962647;2018;78,908082;Brooklyn;4000;COMMERCIAL VACANT LAND;19800;273,41;273,41
103-24-080;800;103322566;10324080;782015341;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;19700;329,26;329,26
291-04-004;800;803356494;29104004;782238561;2018;87,729974;Olmsted Falls;4000;COMMERCIAL VACANT LAND;19700;317,81;302,67
671-18-013;800;103311784;67118013;782149067;2018;119,31843;East Cleveland;4010;APARTMENTS 7-19 (WALK-UP);19700;432,24;411,65
671-18-014;800;503311788;67118014;782149066;2018;119,31843;East Cleveland;4010;APARTMENTS 7-19 (WALK-UP);19700;432,24;411,65
761-18-011;800;403251073;76118011;782165722;2018;107,218084;Warrensville Hts.;4080;APARTMENTS 40 OR MORE UNITS (GARDEN);19700;369,9;369,9
137-04-048;800;903453758;13704048;782085009;2018;95,437969;Cleveland;4090;APARTMENTS 1-6 UNITS;19600;343,72;327,35
673-12-048;800;203342421;67312048;782151627;2018;119,31843;East Cleveland;4010;APARTMENTS 7-19 (WALK-UP);19600;429,73;409,26
814-12-085;800;403474579;81412085;782021479;2018;97,725074;Bedford;4095;DAY CARE CENTERS;19600;351,96;335,2
814-12-086;800;803474583;81412086;782020563;2018;97,725074;Bedford;4095;DAY CARE CENTERS;19600;351,96;335,2
814-12-087;800;303474587;81412087;782021480;2018;97,725074;Bedford;4095;DAY CARE CENTERS;19600;351,96;335,2
814-12-088;800;603474590;81412088;782021478;2018;97,725074;Bedford;4095;DAY CARE CENTERS;19600;351,96;335,2
814-12-089;800;903474593;81412089;782021481;2018;97,725074;Bedford;4095;DAY CARE CENTERS;19600;351,96;335,2
814-12-091;800;503474598;81412091;782167385;2018;97,725074;Bedford;4090;APARTMENTS 1-6 UNITS;19600;351,96;335,2
814-12-092;800;603474599;81412092;782167384;2018;97,725074;Bedford;4090;APARTMENTS 1-6 UNITS;19600;351,96;335,2
814-19-009;800;103476871;81419009;782228901;2018;97,725074;Bedford;4000;COMMERCIAL VACANT LAND;19600;351,96;335,2
763-26-008;800;703277878;76326008;781867282;2018;107,218084;Warrensville Hts.;4080;APARTMENTS 40 OR MORE UNITS (GARDEN);19500;366,15;366,15
763-26-009;800;103277881;76326009;781867283;2018;107,218084;Warrensville Hts.;4080;APARTMENTS 40 OR MORE UNITS (GARDEN);19500;366,15;366,15
763-26-010;800;403277884;76326010;781867284;2018;107,218084;Warrensville Hts.;4080;APARTMENTS 40 OR MORE UNITS (GARDEN);19500;366,15;366,15
763-26-011;800;103277899;76326011;781867285;2018;107,218084;Warrensville Hts.;4080;APARTMENTS 40 OR MORE UNITS (GARDEN);19500;366,15;366,15
763-26-012;800;503277903;76326012;781867286;2018;107,218084;Warrensville Hts.;4080;APARTMENTS 40 OR MORE UNITS (GARDEN);19500;366,15;366,15
763-26-013;800;903277907;76326013;782082231;2018;107,218084;Warrensville Hts.;4080;APARTMENTS 40 OR MORE UNITS (GARDEN);19500;366,15;366,15
763-26-014;800;403277911;76326014;782082230;2018;107,218084;Warrensville Hts.;4000;COMMERCIAL VACANT LAND;19500;366,15;366,15
004-19-054;800;303296135;00419054;781942882;2018;95,437969;Cleveland;4090;APARTMENTS 1-6 UNITS;19400;324,01;324,01
008-14-004;800;103396051;00814004;782167043;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;19400;340,21;324,01
109-21-052;800;803459247;10921052;781747063;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;19400;340,21;324,01
129-05-015;800;403280557;12905015;782222822;2018;95,437969;Cleveland;4120;NURSING HOME;19400;324,01;324,01
315-01-035;800;203571435;31501035;782115067;2018;115,023103;Lakewood;4010;APARTMENTS 7-19 (WALK-UP);19400;390,5;390,5
544-13-049;800;403406791;54413049;782048358;2018;128,531053;Garfield Hts.;4000;COMMERCIAL VACANT LAND;19400;458,18;436,36
763-19-065;800;703274350;76319065;781867016;2018;107,218084;Warrensville Hts.;4080;APARTMENTS 40 OR MORE UNITS (GARDEN);19400;364,01;364,01
763-19-066;800;203274354;76319066;781867017;2018;107,218084;Warrensville Hts.;4080;APARTMENTS 40 OR MORE UNITS (GARDEN);19400;364,01;364,01
763-19-067;800;603274358;76319067;781867018;2018;107,218084;Warrensville Hts.;4080;APARTMENTS 40 OR MORE UNITS (GARDEN);19400;364,01;364,01
763-19-068;800;103274362;76319068;781867019;2018;107,218084;Warrensville Hts.;4080;APARTMENTS 40 OR MORE UNITS (GARDEN);19400;364,01;364,01
763-26-001;800;403277803;76326001;781867275;2018;107,218084;Warrensville Hts.;4080;APARTMENTS 40 OR MORE UNITS (GARDEN);19400;364,01;364,01
763-26-002;800;503277804;76326002;781867276;2018;107,218084;Warrensville Hts.;4080;APARTMENTS 40 OR MORE UNITS (GARDEN);19400;364,01;364,01
763-26-003;800;603277805;76326003;781867277;2018;107,218084;Warrensville Hts.;4080;APARTMENTS 40 OR MORE UNITS (GARDEN);19400;364,01;364,01
763-26-004;800;603277868;76326004;781867278;2018;107,218084;Warrensville Hts.;4080;APARTMENTS 40 OR MORE UNITS (GARDEN);19400;364,01;364,01
763-26-005;800;803277870;76326005;781867279;2018;107,218084;Warrensville Hts.;4080;APARTMENTS 40 OR MORE UNITS (GARDEN);19400;364,01;364,01
763-26-006;800;103277872;76326006;781867280;2018;107,218084;Warrensville Hts.;4080;APARTMENTS 40 OR MORE UNITS (GARDEN);19400;364,01;364,01
763-26-007;800;403277875;76326007;781867281;2018;107,218084;Warrensville Hts.;4080;APARTMENTS 40 OR MORE UNITS (GARDEN);19400;364,01;364,01
004-17-098;800;403293778;00417098;782083979;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;19300;322,58;322,58
018-09-017;800;803611419;01809017;781727662;2018;95,437969;Cleveland;4010;APARTMENTS 7-19 (WALK-UP);19300;338,71;322,58
103-14-016;800;203316915;10314016;781907259;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;19300;322,58;322,58
685-27-051;800;103439575;68527051;782165842;2018;142,378786;Cleveland Hts.;4090;APARTMENTS 1-6 UNITS;19300;481,24;481,24
763-19-057;800;403274311;76319057;782082232;2018;107,218084;Warrensville Hts.;4000;COMMERCIAL VACANT LAND;19300;362,4;362,4
763-19-058;800;603274313;76319058;782076399;2018;107,218084;Warrensville Hts.;4000;COMMERCIAL VACANT LAND;19300;362,4;362,4
763-19-059;800;903274316;76319059;781867010;2018;107,218084;Warrensville Hts.;4080;APARTMENTS 40 OR MORE UNITS (GARDEN);19300;362,4;362,4
763-19-060;800;403274320;76319060;781867011;2018;107,218084;Warrensville Hts.;4080;APARTMENTS 40 OR MORE UNITS (GARDEN);19300;362,4;362,4
763-19-061;800;803274324;76319061;781867012;2018;107,218084;Warrensville Hts.;4080;APARTMENTS 40 OR MORE UNITS (GARDEN);19300;362,4;362,4
763-19-062;800;503274339;76319062;781867013;2018;107,218084;Warrensville Hts.;4080;APARTMENTS 40 OR MORE UNITS (GARDEN);19300;362,4;362,4
763-19-063;800;803274342;76319063;781867014;2018;107,218084;Warrensville Hts.;4080;APARTMENTS 40 OR MORE UNITS (GARDEN);19300;362,4;362,4
763-19-064;800;303274346;76319064;781867015;2018;107,218084;Warrensville Hts.;4080;APARTMENTS 40 OR MORE UNITS (GARDEN);19300;362,4;362,4
110-08-039;800;603469613;11008039;781747483;2018;95,437969;Cleveland;4090;APARTMENTS 1-6 UNITS;19200;320,67;320,67
121-04-097;800;603695198;12104097;781900456;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;19200;320,67;320,67
138-12-029;800;903488624;13812029;782264599;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;19200;336,71;320,67
233-08-015;800;603251273;23308015;781936883;2018;102,331189;North Olmsted;4092;CONVALESCENT HOME;19200;343,83;343,83
026-33-050;800;303241316;02633050;782145770;2018;95,437969;Cleveland;4120;NURSING HOME;19100;335,2;319,24
118-13-017;800;703631749;11813017;782098170;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;19100;319,24;319,24
671-18-018;800;403311949;67118018;782102955;2018;119,31843;East Cleveland;4020;APARTMENTS 20-39 UNITS (WALK-UP);19100;419,08;399,12
008-16-101;800;803398524;00816101;782189350;2018;95,437969;Cleveland;4020;APARTMENTS 20-39 UNITS (WALK-UP);19000;317,33;317,33
119-14-049;800;103659346;11914049;781921484;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;19000;317,33;317,33
121-32-012;800;303707192;12132012;782047432;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;19000;333,2;317,33
371-23-035;800;270541815;37123035;782244467;2018;84,713179;Middleburg Hts.;4000;COMMERCIAL VACANT LAND;19000;295,76;281,67
546-02-009;800;403435726;54602009;782196559;2018;128,531053;Garfield Hts.;4000;COMMERCIAL VACANT LAND;19000;448,73;427,36
672-05-036;800;403319095;67205036;781859781;2018;119,31843;East Cleveland;4000;COMMERCIAL VACANT LAND;19000;396,73;396,73
673-06-069;800;803336829;67306069;781983533;2018;119,31843;East Cleveland;4010;APARTMENTS 7-19 (WALK-UP);18900;414,69;394,94
681-38-064;800;303370106;68138064;781885901;2018;142,378786;Cleveland Hts.;4000;COMMERCIAL VACANT LAND;18900;494,85;471,28
024-30-036;800;403749709;02430036;781715902;2018;95,437969;Cleveland;4080;APARTMENTS 40 OR MORE UNITS (GARDEN);18800;313,99;313,99
103-14-017;800;903317012;10314017;781901329;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;18800;313,99;313,99
119-21-017;800;403661707;11921017;782253769;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;18800;313,99;313,99
121-20-075;800;703703767;12120075;781740299;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;18800;329,69;313,99
121-20-082;800;203703789;12120082;781963698;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;18800;329,69;313,99
131-34-020;800;703340815;13134020;782167117;2018;95,437969;Cleveland;4010;APARTMENTS 7-19 (WALK-UP);18800;329,69;313,99
672-07-023;800;303321353;67207023;782180089;2018;119,31843;East Cleveland;4000;COMMERCIAL VACANT LAND;18800;412,19;392,56
672-23-022;800;903329468;67223022;782124328;2018;119,31843;East Cleveland;4090;APARTMENTS 1-6 UNITS;18800;392,56;392,56
115-08-010;800;103574287;11508010;781970868;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;18700;328,19;312,56
121-20-111;800;303703907;12120111;781928338;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;18700;328,19;312,56
138-10-018;800;403486495;13810018;781971549;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;18700;312,56;312,56
138-14-004;800;503491239;13814004;782175207;2018;95,437969;Cleveland;4090;APARTMENTS 1-6 UNITS;18700;328,19;312,56
106-16-015;800;603384149;10616015;782182292;2018;95,437969;Cleveland;4010;APARTMENTS 7-19 (WALK-UP);18600;0;0
107-16-023;800;903408200;10716023;782202231;2018;95,437969;Cleveland;4030;APARTMENTS 40 OR MORE UNITS (WALK-UP);18600;326,19;310,65
112-20-005;800;703523605;11220005;782200910;2018;95,437969;Cleveland;4090;APARTMENTS 1-6 UNITS;18600;326,19;310,65
812-04-015;800;303446363;81204015;781916892;2018;97,725074;Bedford;4000;COMMERCIAL VACANT LAND;18600;334;318,09
003-09-084;800;203264328;00309084;782108532;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;18500;309,22;309,22
011-03-006;800;703444612;01103006;781964225;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;18500;324,68;309,22
014-15-068;800;903517433;01415068;782094240;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;18500;324,68;309,22
104-11-013;800;603330923;10411013;782115978;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;18500;324,68;309,22
105-23-078;800;903354965;10523078;782252219;2018;95,437969;Cleveland;4090;APARTMENTS 1-6 UNITS;18500;324,68;309,22
007-20-029;800;103370797;00720029;781921723;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;18400;307,31;307,31
007-30-039;800;303380654;00730039;781910433;2018;95,437969;Cleveland;4090;APARTMENTS 1-6 UNITS;18400;322,68;307,31
141-12-008;800;303548432;14112008;782252749;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;18400;322,68;307,31
344-31-002;800;603715952;34431002;782040288;2018;87,407524;Brook Park/Cleveland;4000;COMMERCIAL VACANT LAND;18400;295,53;281,45
374-15-013;800;203278125;37415013;782000697;2018;84,713179;Middleburg Hts.;4000;COMMERCIAL VACANT LAND;18400;272,78;272,78
763-32-001;800;103280248;76332001;781866762;2018;107,218084;Warrensville Hts.;4000;COMMERCIAL VACANT LAND;18400;362,5;345,24
020-04-002;800;503650269;02004002;781729959;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;18300;321,18;305,88
021-22-135;800;603678179;02122135;782088341;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;18300;321,18;305,88
027-27-018;800;703256215;02727018;782079937;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;18300;305,88;305,88
104-11-012;800;303330920;10411012;782115979;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;18300;321,18;305,88
108-19-083;800;1407230832;10819083;782170610;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;18300;321,18;305,88
113-15-022;800;803537655;11315022;781750031;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;18300;321,18;305,88
008-15-005;800;303397088;00815005;782023110;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;18200;304,44;304,44
026-33-033;800;503241255;02633033;782145773;2018;95,437969;Cleveland;4120;NURSING HOME;18200;319,17;303,97
139-01-113;800;103500253;13901113;782165058;2018;95,437969;Cleveland;4090;APARTMENTS 1-6 UNITS;18200;303,97;303,97
015-12-102;800;703538050;01512102;782224140;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;18100;302,54;302,54
018-14-107;800;603616880;01814107;782156205;2018;95,437969;Cleveland;4020;APARTMENTS 20-39 UNITS (WALK-UP);18100;317,67;302,54
103-17-004;800;803318586;10317004;782063264;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;18100;302,54;302,54
673-07-040;800;803337882;67307040;781947920;2018;119,31843;East Cleveland;4090;APARTMENTS 1-6 UNITS;18100;391,61;372,96
795-22-006;800;303426374;79522006;781949647;2018;79,825074;Oakwood;4000;COMMERCIAL VACANT LAND;18100;265,71;253,05
004-01-088;800;903281669;00401088;782141942;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;18000;315,66;300,63
011-15-052;800;703456726;01115052;782135541;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;18000;300,63;300,63
107-10-032;800;903400073;10710032;782060105;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;18000;315,66;300,63
648-39-001;800;803236965;64839001;782151581;2018;114,881873;Euclid;4010;APARTMENTS 7-19 (WALK-UP);18000;361,88;361,88
672-01-023;800;303315287;67201023;782134371;2018;119,31843;East Cleveland;4000;COMMERCIAL VACANT LAND;18000;394,65;375,85
784-30-023;800;803346423;78430023;782006394;2018;117,525483;Maple Hts.;4000;COMMERCIAL VACANT LAND;18000;388,71;370,2
795-03-020;800;803417559;79503020;781867605;2018;79,825074;Oakwood;4000;COMMERCIAL VACANT LAND;18000;264,03;251,45
020-03-016;800;503649756;02003016;782040646;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;17900;299,2;299,2
119-29-129;800;503667513;11929129;782240403;2018;95,437969;Cleveland;4090;APARTMENTS 1-6 UNITS;17900;314,16;299,2
130-08-023;800;203312064;13008023;782215652;2018;95,437969;Cleveland;4000;COMMERCIAL VACANT LAND;17900;299,2;299,2
453-19-001;800;903680180;45319001;781828386;2018;86,44072;Parma;4000;COMMERCIAL VACANT LAND;17900;284,54;270,99
